"","provider_id","hospital_name","city","state","zip_code","hospital_type","hospital_ownership","hospital_overall_rating","patient_experience_national_comparison","address","Latitudes","Longitudes","region"
"1","010005","MARSHALL MEDICAL CENTER SOUTH","BOAZ","AL","35957","Acute Care Hospitals","Government - Hospital District or Authority",3,"Same as the national average","2505 U S HIGHWAY 431 NORTH
BOAZ, AL
",34.22159,-86.160495,"East South Central"
"2","010012","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE","AL","35968","Acute Care Hospitals","Proprietary",3,"Same as the national average","200 MED CENTER DRIVE
FORT PAYNE, AL
",34.4419753,-85.7550138,"East South Central"
"3","010032","WEDOWEE HOSPITAL","WEDOWEE","AL","36278","Acute Care Hospitals","Government - Hospital District or Authority",4,"Not Available","209 NORTH MAIN STREET
WEDOWEE, AL
",33.3166476,-85.487436,"East South Central"
"4","010131","CRESTWOOD MEDICAL CENTER","HUNTSVILLE","AL","35801","Acute Care Hospitals","Proprietary",3,"Same as the national average","ONE HOSPITAL DR SE
HUNTSVILLE, AL
",34.6935825,-86.572207,"East South Central"
"5","030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","TUBA CITY","AZ","86045","Acute Care Hospitals","Voluntary non-profit - Other",3,"Below the national average","PO BOX 600
TUBA CITY, AZ
",36.1349928,-111.2398625,"Mountain"
"6","040007","CHI-ST VINCENT INFIRMARY","LITTLE ROCK","AR","72205","Acute Care Hospitals","Voluntary non-profit - Private",2,"Below the national average","TWO ST VINCENT CIRCLE
LITTLE ROCK, AR
",34.7504671,-92.3393722,"West South Central"
"7","040018","SPARKS MEDICAL CENTER - VAN BUREN","VAN BUREN","AR","72956","Acute Care Hospitals","Proprietary",3,"Same as the national average","EAST MAIN AND SOUTH 20TH STREET
VAN BUREN, AR
",35.4365325,-94.3381171,"West South Central"
"8","040050","OUACHITA COUNTY MEDICAL CENTER","CAMDEN","AR","71701","Acute Care Hospitals","Voluntary non-profit - Private",4,"Above the national average","638 CALIFORNIA AVENUE
CAMDEN, AR
",33.5758644,-92.8362602,"West South Central"
"9","041328","CHICOT MEMORIAL MEDICAL CENTER","LAKE VILLAGE","AR","71653","Critical Access Hospitals","Voluntary non-profit - Private",3,"Above the national average","2729 SOUTH HIGHWAY 65 &amp; 82
LAKE VILLAGE, AR
",35.5563801,-92.4494416,"West South Central"
"10","050054","SAN GORGONIO MEMORIAL HOSPITAL","BANNING","CA","92220","Acute Care Hospitals","Government - Hospital District or Authority",2,"Below the national average","600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA
",33.9317494,-116.9459031,"Pacific"
"11","050103","WHITE MEMORIAL MEDICAL CENTER","LOS ANGELES","CA","90033","Acute Care Hospitals","Voluntary non-profit - Church",3,"Below the national average","1720 E CESAR AVENUE
LOS ANGELES, CA
",34.0492579,-118.2172453,"Pacific"
"12","050138","KAISER FOUNDATION HOSPITAL - LOS ANGELES","LOS ANGELES","CA","90027","Acute Care Hospitals","Voluntary non-profit - Other",3,"Below the national average","4867 SUNSET BLVD
LOS ANGELES, CA
",34.0983411,-118.2945908,"Pacific"
"13","050145","COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","MONTEREY","CA","93940","Acute Care Hospitals","Voluntary non-profit - Private",5,"Above the national average","23625 W R HOLMAN HIGHWAY
MONTEREY, CA
",36.5790057,-121.9132381,"Pacific"
"14","050393","PIH HOSPITAL - DOWNEY","DOWNEY","CA","90241","Acute Care Hospitals","Voluntary non-profit - Private",3,"Below the national average","11500 BROOKSHIRE AVENUE
DOWNEY, CA
",33.9343061,-118.1309877,"Pacific"
"15","050488","EDEN MEDICAL CENTER","CASTRO VALLEY","CA","94546","Acute Care Hospitals","Voluntary non-profit - Other",3,"Same as the national average","20103 LAKE CHABOT ROAD
CASTRO VALLEY, CA
",37.6983405,-122.0896915,"Pacific"
"16","050567","MISSION HOSPITAL REGIONAL MED CENTER","MISSION VIEJO","CA","92691","Acute Care Hospitals","Voluntary non-profit - Private",3,"Below the national average","27700 MEDICAL CENTER RD
MISSION VIEJO, CA
",33.5610516,-117.6654655,"Pacific"
"17","050684","MENIFEE VALLEY MEDICAL CENTER","SUN CITY","CA","92585","Acute Care Hospitals","Physician",2,"Below the national average","28400 MCCALL B0ULEVARD
SUN CITY, CA
",33.7189772,-117.1681518,"Pacific"
"18","051317","ST HELENA HOSPITAL-CLEARLAKE","CLEARLAKE","CA","95422","Critical Access Hospitals","Voluntary non-profit - Church",2,"Below the national average","15630 18TH AVE - HWY 53
CLEARLAKE, CA
",38.9353458,-122.6200816,"Pacific"
"19","080003","ST FRANCIS HOSPITAL","WILMINGTON","DE","19805","Acute Care Hospitals","Voluntary non-profit - Private",4,"Below the national average","7TH AND CLAYTON STS
WILMINGTON, DE
",39.7495353,-75.5666186,"South Atlantic"
"20","100137","HEART OF FLORIDA REGIONAL MEDICAL CENTER","DAVENPORT","FL","33837","Acute Care Hospitals","Proprietary",2,"Below the national average","40100 US HWY 27 N
DAVENPORT, FL
",28.1814929,-81.6418777,"South Atlantic"
"21","100183","CORAL GABLES HOSPITAL","CORAL GABLES","FL","33134","Acute Care Hospitals","Proprietary",3,"Below the national average","3100 DOUGLAS RD
CORAL GABLES, FL
",25.7435082,-80.2547701,"South Atlantic"
"22","100204","NORTH FLORIDA REGIONAL MEDICAL CENTER","GAINESVILLE","FL","32605","Acute Care Hospitals","Proprietary",3,"Below the national average","6500 NEWBERRY RD
GAINESVILLE, FL
",29.6603042,-82.4115721,"South Atlantic"
"23","100209","KENDALL REGIONAL MEDICAL CENTER","MIAMI","FL","33175","Acute Care Hospitals","Proprietary",3,"Below the national average","11750 BIRD RD
MIAMI, FL
",25.7309346,-80.3861403,"South Atlantic"
"24","100244","CAPE CORAL HOSPITAL","CAPE CORAL","FL","33990","Acute Care Hospitals","Government - Hospital District or Authority",2,"Below the national average","636 DEL PRADO BLVD
CAPE CORAL, FL
",26.6394379,-81.943245,"South Atlantic"
"25","110038","JOHN D ARCHBOLD MEMORIAL HOSPITAL","THOMASVILLE","GA","31792","Acute Care Hospitals","Voluntary non-profit - Private",3,"Same as the national average","915 GORDON AVENUE &amp; MIMOSA DRIVE
THOMASVILLE, GA
",30.8251841,-83.9720565,"South Atlantic"
"26","110128","MEADOWS REGIONAL MEDICAL CENTER","VIDALIA","GA","30474","Acute Care Hospitals","Proprietary",3,"Above the national average","ONE MEADOWS PARKWAY
VIDALIA, GA
",32.2090345,-82.3758517,"South Atlantic"
"27","111313","PUTNAM GENERAL HOSPITAL","EATONTON","GA","31024","Critical Access Hospitals","Government - Hospital District or Authority",3,"Not Available","101 LAKE OCONEE PARKWAY
EATONTON, GA
",33.3358149,-83.3712396,"South Atlantic"
"28","111335","LIBERTY REGIONAL MEDICAL CENTER","HINESVILLE","GA","31310","Critical Access Hospitals","Government - Hospital District or Authority",3,"Same as the national average","462 E G MILES PARKWAY
HINESVILLE, GA
",31.8394772,-81.6009755,"South Atlantic"
"29","120028","NORTH HAWAII COMMUNITY HOSPITAL","KAMUELA","HI","96743","Acute Care Hospitals","Voluntary non-profit - Private",3,"Same as the national average","67 1125 MAMALAHOA HIGHWAY
KAMUELA, HI
",20.02287,-155.6650027,"Pacific"
"30","140002","ALTON MEMORIAL HOSPITAL","ALTON","IL","62002","Acute Care Hospitals","Voluntary non-profit - Private",3,"Same as the national average","ONE MEMORIAL DRIVE
ALTON, IL
",38.8996874,-90.1591356,"East North Central"
"31","130013","SAINT ALPHONSUS MEDICAL CENTER - NAMPA","NAMPA","ID","83686","Acute Care Hospitals","Voluntary non-profit - Church",4,"Below the national average","1512 TWELFTH AVENUE ROAD
NAMPA, ID
",43.553871,-116.5706709,"Mountain"
"32","140007","PRESENCE SAINT JOSEPH MEDICAL CENTER","JOLIET","IL","60435","Acute Care Hospitals","Voluntary non-profit - Church",2,"Same as the national average","333 N MADISON
JOLIET, IL
",41.5278676,-88.1358334,"East North Central"
"33","140018","MT SINAI HOSPITAL MEDICAL CENTER","CHICAGO","IL","60608","Acute Care Hospitals","Voluntary non-profit - Private",2,"Below the national average","15TH STREET AT CALIFORNIA
CHICAGO, IL
",41.8601109,-87.6957067,"East North Central"
"34","140052","OSF SAINT ANTHONY'S HEALTH CENTER","ALTON","IL","62002","Acute Care Hospitals","Voluntary non-profit - Church",3,"Above the national average","ST ANTHONY'S WAY
ALTON, IL
",38.9075493,-90.1719701,"East North Central"
"35","140118","METROSOUTH MEDICAL CENTER","BLUE ISLAND","IL","60406","Acute Care Hospitals","Proprietary",2,"Below the national average","12935 S GREGORY
BLUE ISLAND, IL
",41.6580995,-87.6782769,"East North Central"
"36","140191","INGALLS MEMORIAL HOSPITAL","HARVEY","IL","60426","Acute Care Hospitals","Voluntary non-profit - Private",3,"Below the national average","ONE INGALLS DRIVE
HARVEY, IL
",41.607243,-87.6595979,"East North Central"
"37","140210","HARRISBURG MEDICAL CENTER","HARRISBURG","IL","62946","Acute Care Hospitals","Voluntary non-profit - Other",3,"Same as the national average","100 DOCTOR WARREN TUTTLE DR
HARRISBURG, IL
",37.730881,-88.5248334,"East North Central"
"38","140258","ALEXIAN BROTHERS MEDICAL CENTER 1","ELK GROVE VILLAGE","IL","60007","Acute Care Hospitals","Voluntary non-profit - Church",4,"Same as the national average","800 W BIESTERFIELD RD
ELK GROVE VILLAGE, IL
",42.0047644,-88.0164522,"East North Central"
"39","150069","KING'S DAUGHTERS' HEALTH","MADISON","IN","47250","Acute Care Hospitals","Voluntary non-profit - Private",4,"Above the national average","1373 EAST SR 62
MADISON, IN
",38.7925352,-85.3642044,"East North Central"
"40","150089","INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","MUNCIE","IN","47303","Acute Care Hospitals","Voluntary non-profit - Private",3,"Below the national average","2401 UNIVERSITY AVE
MUNCIE, IN
",40.1968976,-85.4146284,"East North Central"
"41","150128","COMMUNITY HOSPITAL SOUTH","INDIANAPOLIS","IN","46227","Acute Care Hospitals","Voluntary non-profit - Private",4,"Same as the national average","1402 E COUNTY LINE RD S
INDIANAPOLIS, IN
",39.6365539,-86.132546,"East North Central"
"42","161377","MERCY MEDICAL CENTER-CENTERVILLE","CENTERVILLE","IA","52544","Critical Access Hospitals","Voluntary non-profit - Private",4,"Same as the national average","ONE ST JOSEPH'S DRIVE
CENTERVILLE, IA
",40.7557317,-92.8570527,"West North Central"
"43","170166","MORTON COUNTY HOSPITAL","ELKHART","KS","67950","Acute Care Hospitals","Government - Local",3,"Not Available","445 N HILLTOP
ELKHART, KS
",37.0025552,-101.9047326,"West North Central"
"44","171373","ALLEN COUNTY REGIONAL HOSPITAL","IOLA","KS","66749","Critical Access Hospitals","Government - State",2,"Same as the national average","3066 NORTH KENTUCKY STREET
IOLA, KS
",37.94859,-95.392147,"West North Central"
"45","171382","ATCHISON HOSPITAL","ATCHISON","KS","66002","Critical Access Hospitals","Voluntary non-profit - Private",3,"Above the national average","800 RAVIN HILL DRIVE
ATCHISON, KS
",39.5366253,-95.1282386,"West North Central"
"46","180010","SAINT JOSEPH HOSPITAL","LEXINGTON","KY","40504","Acute Care Hospitals","Voluntary non-profit - Church",2,"Below the national average","ONE SAINT JOSEPH DRIVE
LEXINGTON, KY
",38.0324504,-84.5236448,"East South Central"
"47","180079","HARRISON MEMORIAL HOSPITAL","CYNTHIANA","KY","41031","Acute Care Hospitals","Voluntary non-profit - Other",4,"Above the national average","1210 KY HWY 36 E
CYNTHIANA, KY
",38.3834944,-84.2774548,"East South Central"
"48","180080","BAPTIST HEALTH CORBIN","CORBIN","KY","40701","Acute Care Hospitals","Voluntary non-profit - Private",3,"Same as the national average","ONE TRILLIUM WAY
CORBIN, KY
",36.9228938,-84.120322,"East South Central"
"49","190116","MOREHOUSE GENERAL HOSPITAL","BASTROP","LA","71220","Acute Care Hospitals","Government - Hospital District or Authority",2,"Same as the national average","323 W WALNUT
BASTROP, LA
",32.7748321,-91.9172474,"West South Central"
"50","190144","MINDEN MEDICAL CENTER","MINDEN","LA","71055","Acute Care Hospitals","Proprietary",4,"Above the national average","NO 1 MEDICAL PLAZA
MINDEN, LA
",32.6177009,-93.286614,"West South Central"
"51","190145","LASALLE GENERAL HOSPITAL","JENA","LA","71342","Acute Care Hospitals","Government - Hospital District or Authority",3,"Not Available","187 NINTH ST/HWY 84 WEST
JENA, LA
",31.6938214,-92.1575962,"West South Central"
"52","200033","EASTERN MAINE MEDICAL CENTER","BANGOR","ME","04401","Acute Care Hospitals","Voluntary non-profit - Private",2,"Below the national average","PO BOX 404
BANGOR, ME
",44.8011821,-68.7778138,"New England"
"53","200018","AROOSTOOK MEDICAL CENTER","PRESQUE ISLE","ME","04769","Acute Care Hospitals","Voluntary non-profit - Private",3,"Same as the national average","PO BOX 151
PRESQUE ISLE, ME
",46.681153,-68.0158614,"New England"
"54","201312","WALDO COUNTY GENERAL HOSPITAL","BELFAST","ME","04915","Critical Access Hospitals","Voluntary non-profit - Private",3,"Same as the national average","PO BOX 287
BELFAST, ME
",44.4122271,-68.9939022,"New England"
"55","220010","LAWRENCE GENERAL HOSPITAL","LAWRENCE","MA","01842","Acute Care Hospitals","Voluntary non-profit - Private",2,"Below the national average","ONE GENERAL STREET
LAWRENCE, MA
",42.7098315,-71.149859,"New England"
"56","220171","LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","BURLINGTON","MA","01803","Acute Care Hospitals","Voluntary non-profit - Private",3,"Same as the national average","41 &amp; 45 MALL ROAD
BURLINGTON, MA
",35.2424881,-85.6904792,"New England"
"57","230110","SPECTRUM HEALTH LUDINGTON HOSPITAL","LUDINGTON","MI","49431","Acute Care Hospitals","Voluntary non-profit - Other",4,"Same as the national average","ONE N ATKINSON DRIVE
LUDINGTON, MI
",43.9593366,-86.4292255,"East North Central"
"58","230132","HURLEY MEDICAL CENTER","FLINT","MI","48503","Acute Care Hospitals","Voluntary non-profit - Other",1,"Below the national average","ONE HURLEY PLAZA
FLINT, MI
",43.021205,-83.7047248,"East North Central"
"59","230197","GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK","GRAND BLANC","MI","48439","Acute Care Hospitals","Voluntary non-profit - Church",2,"Below the national average","ONE GENESYS PARKWAY
GRAND BLANC, MI
",42.892188,-83.6423725,"East North Central"
"60","230277","HURON VALLEY-SINAI HOSPITAL","COMMERCE TOWNSHIP","MI","48382","Acute Care Hospitals","Proprietary",3,"Same as the national average","ONE WILLIAM CARLS DRIVE
COMMERCE TOWNSHIP, MI
",42.592901,-83.499202,"East North Central"
"61","231303","SCHOOLCRAFT MEMORIAL HOSPITAL","MANISTIQUE","MI","49854","Critical Access Hospitals","Government - Local",4,"Above the national average","7870W US HIGHWAY 2
MANISTIQUE, MI
",45.9845353,-86.1322864,"East North Central"
"62","231322","MUNSON HEALTHCARE CHARLEVOIX HOSPITAL","CHARLEVOIX","MI","49720","Critical Access Hospitals","Voluntary non-profit - Other",3,"Above the national average","14700 LAKESHORE DRIVE
CHARLEVOIX, MI
",45.314328,-85.274572,"East North Central"
"63","250006","BAPTIST MEMORIAL HOSPITAL UNION COUNTY","NEW ALBANY","MS","38652","Acute Care Hospitals","Voluntary non-profit - Other",4,"Above the national average","200 HWY 30 WEST
NEW ALBANY, MS
",34.4975149,-89.0276986,"East South Central"
"64","250027","WINSTON MEDICAL CENTER & SWINGBED","LOUISVILLE","MS","39339","Acute Care Hospitals","Voluntary non-profit - Private",3,"Not Available","17550 EAST MAIN STREET
LOUISVILLE, MS
",33.124245,-89.0367029,"East South Central"
"65","250057","KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN","BROOKHAVEN","MS","39601","Acute Care Hospitals","Voluntary non-profit - Other",4,"Above the national average","P O BOX 948/427 HIGHWAY 51 NORTH
BROOKHAVEN, MS
",31.5883282,-90.4569151,"East South Central"
"66","250084","MERIT HEALTH NATCHEZ","NATCHEZ","MS","39120","Acute Care Hospitals","Proprietary",2,"Below the national average","52 SERGEANT PRENTISS DRIVE
NATCHEZ, MS
",31.5203145,-91.3886597,"East South Central"
"67","260020","MERCY HOSPITAL ST LOUIS","SAINT LOUIS","MO","63141","Acute Care Hospitals","Voluntary non-profit - Private",4,"Above the national average","615 NEW BALLAS ROAD
SAINT LOUIS, MO
",38.6455339,-90.4462228,"West North Central"
"68","260032","BARNES JEWISH HOSPITAL","SAINT LOUIS","MO","63110","Acute Care Hospitals","Voluntary non-profit - Other",2,"Above the national average","ONE BARNES-JEWISH HOSPITAL PLAZA
SAINT LOUIS, MO
",38.6352337,-90.2648651,"West North Central"
"69","260108","MISSOURI BAPTIST MEDICAL CENTER","TOWN AND COUNTRY","MO","63131","Acute Care Hospitals","Voluntary non-profit - Private",3,"Same as the national average","3015 N BALLAS RD
TOWN AND COUNTRY, MO
",38.6362225,-90.44652,"West North Central"
"70","260141","UNIVERSITY OF MISSOURI HEALTH CARE","COLUMBIA","MO","65212","Acute Care Hospitals","Government - State",2,"Same as the national average","ONE HOSPITAL DRIVE
COLUMBIA, MO
",38.9387994,-92.3272353,"West North Central"
"71","260142","FITZGIBBON HOSPITAL","MARSHALL","MO","65340","Acute Care Hospitals","Voluntary non-profit - Private",3,"Same as the national average","2305 S 65 HIGHWAY
MARSHALL, MO
",39.0918731,-93.2129173,"West North Central"
"72","260183","SAINT FRANCIS MEDICAL CENTER","CAPE GIRARDEAU","MO","63703","Acute Care Hospitals","Voluntary non-profit - Church",3,"Above the national average","211 ST FRANCIS DR
CAPE GIRARDEAU, MO
",37.3034048,-89.5714474,"West North Central"
"73","260214","BELTON REGIONAL MEDICAL CENTER","BELTON","MO","64012","Acute Care Hospitals","Voluntary non-profit - Private",3,"Same as the national average","17065 S 71 HIGHWAY
BELTON, MO
",38.8140323,-94.5044127,"West North Central"
